MatchID,TeamName
343,"Kings XI Punjab"
343,"Chennai Super Kings"
345,"Rajasthan Royals"
345,"Delhi Daredevils"
346,"Mumbai Indians"
346,"Deccan Chargers"
347,"Chennai Super Kings"
348,"Pune Warriors"
348,"Deccan Chargers"
349,"Rajasthan Royals"
349,"Delhi Daredevils"
350,"Kings XI Punjab"
351,"Pune Warriors"
351,"Mumbai Indians"
352,"Deccan Chargers"
352,"Chennai Super Kings"
353,"Pune Warriors"
354,"Rajasthan Royals"
354,"Kings XI Punjab"
355,"Mumbai Indians"
355,"Chennai Super Kings"
356,"Deccan Chargers"
357,"Delhi Daredevils"
358,"Rajasthan Royals"
358,"Pune Warriors"
359,"Kings XI Punjab"
359,"Deccan Chargers"
360,"Mumbai Indians"
361,"Rajasthan Royals"
361,"Chennai Super Kings"
362,"Pune Warriors"
363,"Mumbai Indians"
364,"Delhi Daredevils"
364,"Chennai Super Kings"
365,"Rajasthan Royals"
365,"Pune Warriors"
366,"Kings XI Punjab"
366,"Deccan Chargers"
367,"Mumbai Indians"
368,"Chennai Super Kings"
369,"Kings XI Punjab"
369,"Delhi Daredevils"
370,"Mumbai Indians"
371,"Kings XI Punjab"
371,"Chennai Super Kings"
372,"Delhi Daredevils"
373,"Rajasthan Royals"
373,"Deccan Chargers"
374,"Kings XI Punjab"
374,"Delhi Daredevils"
375,"Pune Warriors"
376,"Deccan Chargers"
377,"Rajasthan Royals"
377,"Mumbai Indians"
378,"Delhi Daredevils"
379,"Mumbai Indians"
379,"Chennai Super Kings"
380,"Delhi Daredevils"
380,"Chennai Super Kings"
381,"Chennai Super Kings"
382,"Delhi Daredevils"
383,"Mumbai Indians"
384,"Sunrisers Hyderabad"
384,"Pune Warriors"
385,"Rajasthan Royals"
385,"Delhi Daredevils"
386,"Mumbai Indians"
386,"Chennai Super Kings"
387,"Pune Warriors"
387,"Kings XI Punjab"
388,"Sunrisers Hyderabad"
389,"Rajasthan Royals"
390,"Mumbai Indians"
390,"Delhi Daredevils"
391,"Kings XI Punjab"
391,"Chennai Super Kings"
393,"Rajasthan Royals"
393,"Pune Warriors"
394,"Sunrisers Hyderabad"
394,"Delhi Daredevils"
395,"Pune Warriors"
395,"Mumbai Indians"
396,"Chennai Super Kings"
397,"Sunrisers Hyderabad"
398,"Rajasthan Royals"
398,"Kings XI Punjab"
399,"Pune Warriors"
399,"Chennai Super Kings"
400,"Kings XI Punjab"
401,"Delhi Daredevils"
402,"Sunrisers Hyderabad"
402,"Pune Warriors"
403,"Rajasthan Royals"
403,"Mumbai Indians"
404,"Delhi Daredevils"
404,"Chennai Super Kings"
405,"Sunrisers Hyderabad"
405,"Kings XI Punjab"
406,"Chennai Super Kings"
407,"Rajasthan Royals"
408,"Mumbai Indians"
408,"Delhi Daredevils"
409,"Pune Warriors"
409,"Kings XI Punjab"
410,"Rajasthan Royals"
410,"Chennai Super Kings"
411,"Pune Warriors"
412,"Kings XI Punjab"
412,"Delhi Daredevils"
413,"Mumbai Indians"
414,"Sunrisers Hyderabad"
414,"Chennai Super Kings"
415,"Kings XI Punjab"
416,"Sunrisers Hyderabad"
416,"Rajasthan Royals"
417,"Mumbai Indians"
418,"Chennai Super Kings"
419,"Pune Warriors"
419,"Delhi Daredevils"
420,"Rajasthan Royals"
421,"Mumbai Indians"
421,"Kings XI Punjab"
422,"Pune Warriors"
422,"Chennai Super Kings"
423,"Sunrisers Hyderabad"
423,"Mumbai Indians"
424,"Delhi Daredevils"
425,"Kings XI Punjab"
425,"Chennai Super Kings"
426,"Pune Warriors"
427,"Rajasthan Royals"
428,"Sunrisers Hyderabad"
428,"Delhi Daredevils"
429,"Kings XI Punjab"
430,"Mumbai Indians"
430,"Chennai Super Kings"
431,"Rajasthan Royals"
431,"Pune Warriors"
432,"Sunrisers Hyderabad"
433,"Rajasthan Royals"
433,"Delhi Daredevils"
434,"Mumbai Indians"
435,"Sunrisers Hyderabad"
435,"Chennai Super Kings"
436,"Rajasthan Royals"
436,"Kings XI Punjab"
437,"Pune Warriors"
438,"Delhi Daredevils"
439,"Pune Warriors"
439,"Mumbai Indians"
440,"Sunrisers Hyderabad"
440,"Kings XI Punjab"
442,"Rajasthan Royals"
442,"Chennai Super Kings"
443,"Kings XI Punjab"
443,"Delhi Daredevils"
444,"Sunrisers Hyderabad"
444,"Mumbai Indians"
445,"Pune Warriors"
446,"Delhi Daredevils"
446,"Chennai Super Kings"
447,"Rajasthan Royals"
447,"Mumbai Indians"
448,"Kings XI Punjab"
449,"Sunrisers Hyderabad"
449,"Rajasthan Royals"
450,"Mumbai Indians"
450,"Kings XI Punjab"
451,"Pune Warriors"
451,"Delhi Daredevils"
452,"Chennai Super Kings"
453,"Sunrisers Hyderabad"
454,"Mumbai Indians"
454,"Chennai Super Kings"
455,"Sunrisers Hyderabad"
455,"Rajasthan Royals"
456,"Rajasthan Royals"
456,"Mumbai Indians"
457,"Mumbai Indians"
457,"Chennai Super Kings"
458,"Mumbai Indians"
459,"Delhi Daredevils"
460,"Kings XI Punjab"
460,"Chennai Super Kings"
461,"Sunrisers Hyderabad"
461,"Rajasthan Royals"
462,"Mumbai Indians"
463,"Delhi Daredevils"
464,"Rajasthan Royals"
464,"Kings XI Punjab"
465,"Delhi Daredevils"
465,"Chennai Super Kings"
466,"Sunrisers Hyderabad"
466,"Kings XI Punjab"
467,"Rajasthan Royals"
467,"Chennai Super Kings"
469,"Sunrisers Hyderabad"
469,"Delhi Daredevils"
470,"Mumbai Indians"
470,"Chennai Super Kings"
471,"Rajasthan Royals"
472,"Kings XI Punjab"
473,"Mumbai Indians"
473,"Delhi Daredevils"
474,"Sunrisers Hyderabad"
474,"Chennai Super Kings"
475,"Kings XI Punjab"
476,"Rajasthan Royals"
477,"Sunrisers Hyderabad"
477,"Mumbai Indians"
478,"Chennai Super Kings"
479,"Mumbai Indians"
479,"Kings XI Punjab"
480,"Rajasthan Royals"
480,"Delhi Daredevils"
481,"Sunrisers Hyderabad"
482,"Rajasthan Royals"
483,"Delhi Daredevils"
483,"Chennai Super Kings"
484,"Mumbai Indians"
485,"Delhi Daredevils"
486,"Kings XI Punjab"
486,"Chennai Super Kings"
487,"Sunrisers Hyderabad"
487,"Rajasthan Royals"
488,"Kings XI Punjab"
489,"Sunrisers Hyderabad"
489,"Delhi Daredevils"
490,"Mumbai Indians"
490,"Chennai Super Kings"
491,"Kings XI Punjab"
492,"Rajasthan Royals"
493,"Sunrisers Hyderabad"
493,"Mumbai Indians"
494,"Rajasthan Royals"
494,"Chennai Super Kings"
495,"Delhi Daredevils"
496,"Sunrisers Hyderabad"
496,"Kings XI Punjab"
497,"Mumbai Indians"
498,"Rajasthan Royals"
498,"Delhi Daredevils"
499,"Chennai Super Kings"
500,"Sunrisers Hyderabad"
501,"Rajasthan Royals"
501,"Mumbai Indians"
502,"Kings XI Punjab"
502,"Delhi Daredevils"
503,"Sunrisers Hyderabad"
504,"Chennai Super Kings"
505,"Mumbai Indians"
505,"Kings XI Punjab"
507,"Sunrisers Hyderabad"
507,"Chennai Super Kings"
508,"Mumbai Indians"
508,"Delhi Daredevils"
509,"Rajasthan Royals"
509,"Kings XI Punjab"
510,"Chennai Super Kings"
511,"Sunrisers Hyderabad"
512,"Kings XI Punjab"
512,"Delhi Daredevils"
513,"Rajasthan Royals"
513,"Mumbai Indians"
514,"Kings XI Punjab"
515,"Mumbai Indians"
515,"Chennai Super Kings"
516,"Kings XI Punjab"
516,"Chennai Super Kings"
517,"Kings XI Punjab"
518,"Mumbai Indians"
519,"Delhi Daredevils"
519,"Chennai Super Kings"
520,"Rajasthan Royals"
520,"Kings XI Punjab"
521,"Sunrisers Hyderabad"
521,"Chennai Super Kings"
523,"Rajasthan Royals"
523,"Delhi Daredevils"
524,"Mumbai Indians"
524,"Kings XI Punjab"
525,"Sunrisers Hyderabad"
526,"Rajasthan Royals"
526,"Mumbai Indians"
527,"Chennai Super Kings"
528,"Kings XI Punjab"
528,"Delhi Daredevils"
529,"Sunrisers Hyderabad"
529,"Rajasthan Royals"
530,"Mumbai Indians"
530,"Chennai Super Kings"
531,"Sunrisers Hyderabad"
531,"Delhi Daredevils"
532,"Kings XI Punjab"
533,"Rajasthan Royals"
533,"Chennai Super Kings"
534,"Mumbai Indians"
535,"Delhi Daredevils"
536,"Rajasthan Royals"
536,"Kings XI Punjab"
537,"Sunrisers Hyderabad"
538,"Chennai Super Kings"
539,"Mumbai Indians"
539,"Delhi Daredevils"
540,"Rajasthan Royals"
541,"Sunrisers Hyderabad"
541,"Mumbai Indians"
542,"Kings XI Punjab"
542,"Chennai Super Kings"
543,"Delhi Daredevils"
544,"Sunrisers Hyderabad"
544,"Kings XI Punjab"
545,"Delhi Daredevils"
546,"Rajasthan Royals"
547,"Chennai Super Kings"
548,"Kings XI Punjab"
548,"Delhi Daredevils"
549,"Rajasthan Royals"
549,"Mumbai Indians"
551,"Sunrisers Hyderabad"
551,"Chennai Super Kings"
552,"Mumbai Indians"
552,"Kings XI Punjab"
553,"Rajasthan Royals"
553,"Delhi Daredevils"
554,"Chennai Super Kings"
555,"Sunrisers Hyderabad"
556,"Mumbai Indians"
556,"Delhi Daredevils"
557,"Kings XI Punjab"
558,"Sunrisers Hyderabad"
558,"Rajasthan Royals"
559,"Mumbai Indians"
559,"Chennai Super Kings"
560,"Kings XI Punjab"
561,"Sunrisers Hyderabad"
561,"Delhi Daredevils"
562,"Mumbai Indians"
563,"Rajasthan Royals"
563,"Chennai Super Kings"
564,"Sunrisers Hyderabad"
564,"Kings XI Punjab"
565,"Delhi Daredevils"
565,"Chennai Super Kings"
566,"Kings XI Punjab"
567,"Mumbai Indians"
568,"Sunrisers Hyderabad"
569,"Kings XI Punjab"
569,"Chennai Super Kings"
570,"Rajasthan Royals"
571,"Delhi Daredevils"
572,"Sunrisers Hyderabad"
572,"Mumbai Indians"
573,"Mumbai Indians"
573,"Chennai Super Kings"
574,"Rajasthan Royals"
575,"Chennai Super Kings"
576,"Mumbai Indians"
576,"Chennai Super Kings"
577,"Mumbai Indians"
578,"Delhi Daredevils"
579,"Kings XI Punjab"
579,"Gujarat Lions"
580,"Sunrisers Hyderabad"
581,"Mumbai Indians"
582,"Gujarat Lions"
583,"Kings XI Punjab"
583,"Delhi Daredevils"
584,"Sunrisers Hyderabad"
585,"Mumbai Indians"
585,"Gujarat Lions"
586,"Kings XI Punjab"
587,"Delhi Daredevils"
588,"Sunrisers Hyderabad"
588,"Mumbai Indians"
589,"Kings XI Punjab"
590,"Mumbai Indians"
591,"Sunrisers Hyderabad"
591,"Gujarat Lions"
593,"Mumbai Indians"
593,"Delhi Daredevils"
594,"Sunrisers Hyderabad"
594,"Kings XI Punjab"
595,"Gujarat Lions"
597,"Mumbai Indians"
597,"Kings XI Punjab"
598,"Sunrisers Hyderabad"
599,"Gujarat Lions"
599,"Delhi Daredevils"
600,"Mumbai Indians"
601,"Gujarat Lions"
602,"Delhi Daredevils"
603,"Sunrisers Hyderabad"
604,"Kings XI Punjab"
604,"Gujarat Lions"
605,"Mumbai Indians"
607,"Gujarat Lions"
607,"Delhi Daredevils"
608,"Kings XI Punjab"
609,"Delhi Daredevils"
610,"Sunrisers Hyderabad"
610,"Gujarat Lions"
612,"Kings XI Punjab"
612,"Delhi Daredevils"
613,"Sunrisers Hyderabad"
613,"Mumbai Indians"
614,"Gujarat Lions"
615,"Kings XI Punjab"
616,"Sunrisers Hyderabad"
617,"Mumbai Indians"
618,"Sunrisers Hyderabad"
618,"Delhi Daredevils"
619,"Mumbai Indians"
619,"Kings XI Punjab"
620,"Gujarat Lions"
622,"Sunrisers Hyderabad"
622,"Kings XI Punjab"
623,"Mumbai Indians"
623,"Delhi Daredevils"
625,"Delhi Daredevils"
626,"Kings XI Punjab"
627,"Gujarat Lions"
628,"Sunrisers Hyderabad"
628,"Delhi Daredevils"
629,"Kings XI Punjab"
630,"Mumbai Indians"
630,"Gujarat Lions"
631,"Sunrisers Hyderabad"
632,"Delhi Daredevils"
633,"Gujarat Lions"
634,"Sunrisers Hyderabad"
635,"Sunrisers Hyderabad"
635,"Gujarat Lions"
636,"Sunrisers Hyderabad"
7894,"Mumbai Indians"
7894,"Chennai Super Kings"
7895,"Kings XI Punjab"
7895,"Delhi Daredevils"
7897,"Sunrisers Hyderabad"
7897,"Rajasthan Royals"
7898,"Chennai Super Kings"
7899,"Rajasthan Royals"
7899,"Delhi Daredevils"
7900,"Sunrisers Hyderabad"
7900,"Mumbai Indians"
7901,"Kings XI Punjab"
7902,"Mumbai Indians"
7902,"Delhi Daredevils"
7903,"Sunrisers Hyderabad"
7904,"Rajasthan Royals"
7905,"Kings XI Punjab"
7905,"Chennai Super Kings"
7906,"Delhi Daredevils"
7907,"Mumbai Indians"
7908,"Rajasthan Royals"
7909,"Sunrisers Hyderabad"
7909,"Kings XI Punjab"
7910,"Rajasthan Royals"
7910,"Chennai Super Kings"
7911,"Kings XI Punjab"
7912,"Delhi Daredevils"
7913,"Sunrisers Hyderabad"
7913,"Chennai Super Kings"
7914,"Rajasthan Royals"
7914,"Mumbai Indians"
7915,"Kings XI Punjab"
7915,"Delhi Daredevils"
7916,"Sunrisers Hyderabad"
7916,"Mumbai Indians"
7917,"Chennai Super Kings"
7918,"Sunrisers Hyderabad"
7918,"Kings XI Punjab"
7919,"Delhi Daredevils"
7920,"Mumbai Indians"
7920,"Chennai Super Kings"
7921,"Sunrisers Hyderabad"
7921,"Rajasthan Royals"
7923,"Delhi Daredevils"
7923,"Chennai Super Kings"
7924,"Mumbai Indians"
7925,"Rajasthan Royals"
7925,"Delhi Daredevils"
7926,"Chennai Super Kings"
7927,"Mumbai Indians"
7927,"Kings XI Punjab"
7928,"Chennai Super Kings"
7929,"Sunrisers Hyderabad"
7929,"Delhi Daredevils"
7930,"Mumbai Indians"
7931,"Rajasthan Royals"
7931,"Kings XI Punjab"
7932,"Sunrisers Hyderabad"
